"","logFC","logCPM","PValue","FDR"
"ENSMUSG00000050211",-3.7103868911002,2.1335526090336,2.30969854418259e-39,3.32981540119657e-37
"ENSMUSG00000033213",-3.57743975381369,2.84204907327325,2.99817087102836e-56,9.63269469848969e-54
"ENSMUSG00000039269",-3.50907972429476,1.29225083987983,1.40960555793501e-27,1.08568592458762e-25
"ENSMUSG00000058755",-3.50170069457186,2.25912065977776,5.70783885737966e-42,9.43891881635797e-40
"ENSMUSG00000004359",-3.35809589868293,4.33859162909397,1.43994341952607e-87,1.15658312518361e-84
"ENSMUSG00000013766",-2.9281025824206,3.07519586987694,2.11112374404856e-43,3.70931039091032e-41
"ENSMUSG00000021732",-2.9134849050629,2.21386073171307,6.48947773913365e-30,5.88501428843209e-28
"ENSMUSG00000044734",-2.8939597412853,1.52069593694117,7.21120475779888e-24,4.40706508160045e-22
"ENSMUSG00000030413",-2.79267353612129,1.395838489252,2.72100014598999e-22,1.45703079245988e-20
"ENSMUSG00000085912",-2.76538878813239,1.68749069278285,2.20558839622468e-19,9.2890792193058e-18
"ENSMUSG00000027347",-2.67869710342499,2.23702010484783,1.3511723569461e-33,1.47513914115135e-31
"ENSMUSG00000030523",-2.63878376819982,1.79100247503924,7.86791822894231e-25,5.05569945625465e-23
"ENSMUSG00000075707",-2.50925057685002,1.90054580703569,4.15281385781728e-22,2.19241276202607e-20
"ENSMUSG00000091302",-2.49508112504645,4.1512567602329,3.03209509204601e-52,7.74907029774031e-50
"ENSMUSG00000030134",-2.48219548107917,3.01199435554327,3.95119492946621e-40,5.92415826424633e-38
"ENSMUSG00000035158",-2.45984446652978,5.501395967264,6.18454025165707e-60,2.31817183766279e-57
"ENSMUSG00000031027",-2.39929371958094,2.99929126747781,1.01897401594068e-31,9.96379374717648e-30
"ENSMUSG00000062444",-2.39492587625126,2.30913034316478,9.42735889662471e-30,8.48085206340358e-28
"ENSMUSG00000052316",-2.38122707750097,3.08395920747839,6.84302081073857e-36,8.3645462616815e-34
"ENSMUSG00000041548",-2.35481601802158,4.84855398358421,2.78191955857931e-48,6.13385988945575e-46
"ENSMUSG00000058794",-2.34139449993118,1.63606620160316,1.52169570735397e-21,7.70786857170963e-20
"ENSMUSG00000002033",-2.29083699577603,2.61682711646069,9.14955011346957e-27,6.68095396272502e-25
"ENSMUSG00000026959",-2.27289345701976,2.89727051843842,3.94850246132002e-25,2.58144826613626e-23
"ENSMUSG00000086219",-2.24230383164592,3.52454595617495,2.44491942721558e-42,4.10345059090136e-40
"ENSMUSG00000046323",-2.2396334537998,2.48597048542695,4.75352582949908e-24,2.92095070779875e-22
"ENSMUSG00000027233",-2.23668079406216,2.47052119294299,1.67660606552263e-29,1.49630438149222e-27
"ENSMUSG00000030020",-2.14208998847711,3.29474003720408,2.743741805937e-32,2.77958347817671e-30
"ENSMUSG00000052180",-2.11499116479137,3.59208129160563,1.32106698321813e-37,1.76849978884379e-35
"ENSMUSG00000038305",-2.09178278015068,3.57201263444989,7.81837740882382e-41,1.25596648517463e-38
