Chr	Start	End	Length	Strand	mESc.2i.RNA.DMSO.REP1	mESc.2i.RNA.DMSO.REP2	mESc.2i.RNA.DMSO.REP3	mESc.2i.RNA.RA.REP1	mESc.2i.RNA.RA.REP2	mESc.2i.RNA.RA.REP3
ENSMUSG00000000001	chr3	107910198	107949064	3262	-	2542	2117	2202	2141	512	1213
ENSMUSG00000000003	chrX	75083240	75098962	1599	-	0	0	0	0	0	0
ENSMUSG00000000028	chr16	18780540	18812080	4722	-	1586	1347	1172	1262	257	802
ENSMUSG00000000031	chr7	149761434	149764048	6343	-	3610	3283	2670	4388	972	2372
ENSMUSG00000000037	chrX	157555125	157696145	33076	+	45	27	27	38	10	33
ENSMUSG00000000049	chr11	108204668	108275710	2662	+	0	0	0	0	0	0
ENSMUSG00000000056	chr11	121098567	121117170	5355	+	457	320	318	319	70	199
ENSMUSG00000000058	chr6	17231185	17239115	4401	+	0	0	0	0	0	0
ENSMUSG00000000078	chr13	5860735	5869639	4217	+	1117	1008	855	900	182	610
ENSMUSG00000000085	chr4	120077886	120202804	22663	+	236	237	171	272	61	302
ENSMUSG00000000088	chr9	57369039	57380231	690	+	4267	3724	4006	3164	888	1959
ENSMUSG00000000093	chr11	85646053	85655450	3626	+	4	4	7	13	2	13
ENSMUSG00000000094	chr11	85699924	85729599	9123	+	13	12	5	18	1	8
ENSMUSG00000000103	chrY	1362123	1426357	2816	-	8	13	8	15	5	12
ENSMUSG00000000120	chr11	95430132	95449049	3446	-	401	352	326	208	42	179
ENSMUSG00000000125	chr11	103635464	103679271	3076	+	1	0	3	1	0	4
ENSMUSG00000000126	chr11	59120430	59147054	6638	+	15	12	9	20	8	17
ENSMUSG00000000127	chr17	64213364	64488843	11155	+	870	842	728	849	242	691
ENSMUSG00000000131	chr7	133245229	133344015	31920	-	3433	3383	2802	2860	723	2816
ENSMUSG00000000134	chrX	7339686	7352328	37886	+	1091	995	893	605	141	510
ENSMUSG00000000142	chr11	108781663	108812097	11902	+	312	351	254	230	69	266
ENSMUSG00000000148	chr5	141180965	141195333	28956	+	580	520	478	487	82	390
ENSMUSG00000000149	chr5	141234362	141306385	4579	-	919	785	844	696	138	516
ENSMUSG00000000154	chr7	150659626	150685239	7920	+	11	9	10	21	3	4
ENSMUSG00000000157	chr16	96643895	96665226	10182	-	0	0	0	0	0	1
ENSMUSG00000000159	chr16	96583275	96747187	6814	+	2	0	0	1	1	3
ENSMUSG00000000167	chr9	50425426	50433105	7139	+	35	38	20	32	15	16
ENSMUSG00000000168	chr9	50442738	50467885	7053	-	1549	1447	1473	1348	304	745
ENSMUSG00000000171	chr9	50404443	50411954	1287	-	2118	1656	1848	1476	357	780
ENSMUSG00000000182	chr6	127022920	127031426	1814	+	5	5	1	3	1	5
ENSMUSG00000000183	chr6	126965560	126974736	1232	+	0	0	0	0	0	0
ENSMUSG00000000184	chr6	127075797	127101066	5701	-	9	8	11	138	40	99
ENSMUSG00000000194	chr2	31007836	31075068	14141	+	3112	2839	2443	2735	481	2170
ENSMUSG00000000197	chr14	123675863	124026366	10917	-	61	74	46	55	11	39
ENSMUSG00000000202	chr11	114652531	114657259	9967	-	3	1	0	10	2	13
ENSMUSG00000000204	chr11	82988688	83003723	9941	+	27	20	24	35	12	23
ENSMUSG00000000214	chr7	150078657	150117033	7590	-	3	11	6	5	1	8
ENSMUSG00000000215	chr7	149864561	149885415	3576	-	0	0	0	0	0	0
ENSMUSG00000000216	chr7	128877993	128911989	5982	+	0	2	0	0	1	0
ENSMUSG00000000223	chrX	130939090	130991112	30517	+	40	21	22	28	6	34
ENSMUSG00000000244	chr7	150190951	150205549	16153	+	117	97	96	134	29	79
ENSMUSG00000000247	chr2	38194801	38225253	8101	+	44	28	24	35	7	16
ENSMUSG00000000248	chr6	128884399	128970537	5826	+	13	4	2	1	0	3
ENSMUSG00000000253	chr13	45602813	45641751	2782	+	44	31	35	43	5	20
ENSMUSG00000000263	chr11	55327740	55421700	6224	-	0	0	0	0	0	0
ENSMUSG00000000266	chrX	137199138	137302254	17538	+	4	4	5	6	1	5
ENSMUSG00000000275	chr11	88860690	88881607	17634	+	2643	2473	1984	1776	454	1611
ENSMUSG00000000276	chr11	88896493	88928164	17117	-	2091	1919	1753	3428	953	2451
ENSMUSG00000000278	chr11	88785334	88816779	3957	-	4408	3868	3548	4184	716	2713
ENSMUSG00000000282	chr11	74644422	74659227	5989	+	440	437	306	290	96	388
ENSMUSG00000000290	chr10	76992997	77028453	8994	+	3	1	4	1	0	2
ENSMUSG00000000295	chr10	31033188	31048010	6031	+	645	499	509	547	131	316
ENSMUSG00000000296	chr10	31052186	31165727	2549	-	438	386	397	226	66	128
ENSMUSG00000000301	chr11	59784116	59859991	6680	-	61	45	60	56	18	42
ENSMUSG00000000303	chr8	109127251	109194146	8422	+	19489	18168	14056	16674	4021	14536
ENSMUSG00000000305	chr2	179177136	179634078	9149	+	588	569	478	818	190	715
ENSMUSG00000000308	chr2	121183450	121189473	8979	+	822	627	667	234	48	126
ENSMUSG00000000317	chr11	70037630	70043300	4402	-	17	10	9	29	3	17
ENSMUSG00000000318	chr11	69980125	69984336	4970	+	8	7	1	4	1	4
ENSMUSG00000000320	chr11	70054959	70068855	5215	-	32	39	29	5	5	5
ENSMUSG00000000325	chr16	18348275	18407169	39059	+	2278	1865	1934	2472	489	1775
ENSMUSG00000000326	chr16	18406979	18426945	5685	-	787	678	646	661	115	480
ENSMUSG00000000339	chr3	116191881	116211126	4548	-	950	783	745	721	166	457
ENSMUSG00000000340	chr3	116215988	116252894	3296	+	1087	949	900	1064	237	605
ENSMUSG00000000346	chr15	100446069	100451184	1838	+	994	870	857	703	135	340
ENSMUSG00000000355	chrX	35953755	35966699	3682	+	352	315	303	311	90	196
ENSMUSG00000000359	chr2	152452687	152460934	3446	+	1	0	1	1	0	0
ENSMUSG00000000365	chr14	57021534	57143869	8539	+	2729	2356	2379	2563	813	1628
ENSMUSG00000000374	chr10	77649470	77707387	5048	-	771	696	606	791	166	629
ENSMUSG00000000378	chr11	6446890	6496747	9259	+	385	331	338	439	79	269
ENSMUSG00000000381	chr11	6531490	6538652	4149	-	1	0	0	0	0	0
ENSMUSG00000000384	chr11	6515601	6526070	14012	-	2163	1976	1703	1970	410	1691
ENSMUSG00000000385	chr16	97786291	97832802	3159	-	43	29	31	49	25	56
ENSMUSG00000000386	chr16	97668642	97684514	14627	-	15	11	12	5	9	20
ENSMUSG00000000392	chr2	62339000	62412132	16869	-	1	0	0	2	0	2
ENSMUSG00000000394	chr2	62312587	62321707	2509	-	0	0	0	0	0	0
ENSMUSG00000000399	chr6	126771881	126799162	1322	-	1997	1775	1649	1808	313	995
ENSMUSG00000000402	chrX	162960939	163023652	2704	-	197	201	158	263	62	199
ENSMUSG00000000409	chr4	129225588	129250885	9143	-	228	209	221	242	43	137
ENSMUSG00000000411	chr4	129166258	129168266	1280	-	0	1	0	1	2	0
ENSMUSG00000000416	chr6	18316478	18465338	26843	-	236	248	237	100	27	88
ENSMUSG00000000420	chr18	24363845	24445319	12079	+	2885	2584	2517	2198	569	1315
ENSMUSG00000000435	chr10	106919964	106923190	2083	-	0	0	0	0	0	0
ENSMUSG00000000439	chr6	115551949	115568688	3864	+	738	646	576	580	135	332
ENSMUSG00000000440	chr6	115311239	115440419	3626	+	13	10	6	15	1	6
ENSMUSG00000000441	chr6	115568085	115626653	16606	-	3989	3878	3399	4116	959	2947
ENSMUSG00000000486	chr7	134357961	134362012	8816	-	2369	2102	1886	3649	799	2718
ENSMUSG00000000489	chr15	79826330	79845238	2918	-	13	14	12	11	2	3
ENSMUSG00000000530	chr15	100958953	100975767	20283	+	9	5	5	21	6	13
ENSMUSG00000000531	chr15	101054638	101063186	2013	+	301	274	264	386	90	304
ENSMUSG00000000532	chr15	101004556	101043032	3277	+	873	699	630	780	195	723
ENSMUSG00000000538	chr11	60040216	60166407	34192	-	260	298	211	272	61	306
ENSMUSG00000000544	chr1	168060369	168096641	6028	+	1625	1407	1268	1614	364	1130
ENSMUSG00000000552	chr15	103144319	103170517	6926	-	89	96	86	74	31	117
ENSMUSG00000000555	chr15	103174720	103197194	4379	-	1850	1689	1401	4137	1030	3682
ENSMUSG00000000560	chr5	71352296	71487088	2392	-	1	0	0	0	0	0
ENSMUSG00000000561	chr3	105762287	105787518	14710	+	4213	3961	3561	4002	874	2594
ENSMUSG00000000562	chr3	105673776	105711846	3589	+	0	1	1	5	1	4
ENSMUSG00000000563	chr3	105745616	105763017	6315	-	3344	3137	3023	2908	665	1482
ENSMUSG00000000567	chr11	112643538	112649074	4735	+	0	0	0	0	0	1
ENSMUSG00000000568	chr5	100387445	100407957	15063	-	2489	2585	1796	2664	964	2315
ENSMUSG00000000579	chr17	6646959	6655064	7007	-	723	688	573	675	161	603
